mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
50	50	1/2	1/2	4/2	1	1	I(64)				I(64)	I			64					M	0, -1, -4		0	0	1	1	0.5	1.0	0.5	0.6666666666666666
50	50	1	1	4/2	1	1	I(4)				I(4)	I			4					M	0, -1, 1		0	0	1	0	1.0	1.0	0.0	1.0
50	50	3/2	3/2	4/2	1	1	I				I	I								M	0, 4, 1		0	0	2	0	1.0	1.0	0.0	1.0
51	51	0	0	4/2	1	1	I(#6)				I(#6)	I			#6					M	0, 4, 1	3	0	0	2	2	0.5	1.0	4.0	0.2
51	51	1/2	1/2	4/2	1	1	I(64)				I(64)	I			64					M	0, -1, -4		0	0	1	1	0.5	0.5	0.5	0.5
51	51	1	1	4/2	1	1	I				I	I								M	0, 4, 1		0	0	3	0	1.0	2.0	0.0	1.0
52	52	0	0	4/2	1	1	I(#13)				I(#13)	I			#13					M	0, 4, 1	3	0	0	2	2	0.5	1.0	4.0	0.2
52	52	1/2	1/2	4/2	1	1	I(64)				I(64)	I			64					M	0, -1, -4		0	0	1	1	0.5	1.0	0.5	0.6666666666666666
52	52	1	1	4/2	1	1	I(4)				I(4)	I			4					M	0, -1, 1		0	0	1	0	1.0	1.0	0.0	1.0
52	52	3/2	3/2	4/2	1	1	I}				I	I							}	M	0, 4, 1		0	0	4	2	0.6666666666666666	4.5	4.0	0.5294117647058824
